t, p_z
25.995000000000001,3.1327258214413183
26.245000000000001,3.0643367995073669
26.495000000000001,3.1101020888447044
26.745000000000001,2.9663413611586127
26.995000000000001,2.9086696391986182
27.245000000000001,3.2632728669643885
27.495000000000001,3.2720232650057088
27.745000000000001,3.2685127883970813
27.995000000000001,3.253508530424547
28.245000000000001,3.3802834782529101
28.495000000000001,3.1117873898252744
28.745000000000001,3.286691352397602
28.995000000000001,3.0298404572638109
29.245000000000001,2.8732638337120231
29.495000000000001,2.8941645583742259
29.745000000000001,2.9868545703504208
29.995000000000001,3.2695425060800196
30.245000000000001,3.0081455287256906
30.495000000000001,3.0751104853768694
30.745000000000001,3.1145604366469759
30.995000000000001,3.1507152424116924
31.245000000000001,2.9200569530288587
31.495000000000001,2.8111700784296043
31.745000000000001,2.6189207826829457
31.995000000000001,2.7415263750849697
32.244999999999997,2.4332815118858955
32.494999999999997,2.6171210616739935
32.744999999999997,2.8426467811035461
32.994999999999997,3.2287170795394164
33.244999999999997,3.3478085886926445
33.494999999999997,3.5917524238906027
33.744999999999997,3.1591450935331218
33.994999999999997,3.1063000268430456
34.244999999999997,3.0836411662122649
34.494999999999997,2.7124301867929295
34.744999999999997,2.4825452276887043
34.994999999999997,2.3907049973920804
35.244999999999997,2.9571479864694705
35.494999999999997,2.7192077655599567
35.744999999999997,3.0759408711623268
35.994999999999997,3.0431021502086164
36.244999999999997,3.0629124701660544
36.494999999999997,3.0781380097983635
36.744999999999997,3.1068814788054642
36.994999999999997,3.0720464463674544
37.244999999999997,2.7165898582569161
37.494999999999997,2.8128226787623887
37.744999999999997,2.511170817619274
37.994999999999997,2.8535732182623113
38.244999999999997,2.531734064336256
38.494999999999997,2.8247173099314957
38.744999999999997,2.9098727261278081
38.994999999999997,2.7351053807714711
39.244999999999997,3.2322309800285294
39.494999999999997,3.0011042035491289
39.744999999999997,3.3632306047495404
39.994999999999997,3.247527449185831
40.244999999999997,2.9732892224793863
40.494999999999997,2.8715996778082347
40.744999999999997,2.9802823446848596
40.994999999999997,3.1859436549152305
